id,persona,persona_display_name,roast_type,weather_tags,condition_codes,temp_min_f,temp_max_f,humidity_min,wind_min_mph,precip_min_percent,daypart,roast_level,text,fallback_text,weight,active,locale,notes
karen_partly_cloudy_today_001,karen,Karen,today,partly_cloudy|nice,801,,,,,,morning|afternoon,medium,"It’s {temp}{temp_unit} and somehow still making a scene.",,3,TRUE,en-US,"Demo-friendly partly cloudy line."
karen_cloudy_hourly_001,karen,Karen,hourly,cloudy,802|803|804,,,,,,any,mild,"Cloud cover is {condition}. I would like to speak to the sky's manager.",,1,TRUE,en-US,"Cloudy hourly roast."
karen_light_rain_commute_001,karen,Karen,commute,light_rain|commute_risk,500|501,,,,,50,morning|evening,medium,"{precip_chance}% rain chance. Your commute has filed a formal complaint.",,1,TRUE,en-US,"Rain commute."
karen_weekend_good_001,karen,Karen,weekend,weekend_good|clear|nice,800,,,,,,any,mild,"{city} gets nice weather and suddenly everyone owns patio furniture.",,1,TRUE,en-US,"Weekend clear."
karen_high_uv_mood_001,karen,Karen,mood,high_uv|hot,,85,,,,,afternoon,medium,"UV is high and the sun is acting like it has a reservation.",,1,TRUE,en-US,"High UV mood."
karen_fallback_today_001,karen,Karen,today,fallback,,,,,,,any,mild,"The weather is vague, but I remain deeply inconvenienced.",,1,TRUE,en-US,"Persona fallback."
karen_severe_today_001,karen,Karen,today,severe|storm,200|201|202|210|211|212|221|230|231|232,,,,,,any,mild,"Severe weather is possible in {city}. Check alerts, stay inside if told, and keep devices charged.",,2,TRUE,en-US,"Safety-first severe line."
frat_bro_hot_humid_today_001,frat_bro,Frat Bro,today,hot|humid|gross,,90,,65,,,afternoon|any,medium,"It's {temp}{temp_unit} and humid. The air is doing burpees, bro.",,2,TRUE,en-US,"Hot humid today."
frat_bro_windy_hourly_001,frat_bro,Frat Bro,hourly,windy,,,,,20,,any,mild,"Wind at {wind_mph} mph. Nature just turned on the pregame fan.",,1,TRUE,en-US,"Windy hourly."
frat_bro_heavy_rain_commute_001,frat_bro,Frat Bro,commute,heavy_rain|commute_risk|gross,502|503|504|522,,,,,75,morning|evening,medium,"Heavy rain odds are up. Leave early unless your car can swim, champ.",,1,TRUE,en-US,"Heavy rain commute."
frat_bro_clear_weekend_001,frat_bro,Frat Bro,weekend,clear|weekend_good|nice,800,,,,,,any,mild,"Clear skies. Grill confidence is at dangerously legal levels.",,1,TRUE,en-US,"Clear weekend."
frat_bro_dry_mood_001,frat_bro,Frat Bro,mood,dry,,,30,,,,any,mild,"The air is dry enough to need a water break between thoughts.",,1,TRUE,en-US,"Dry mood."
frat_bro_fallback_today_001,frat_bro,Frat Bro,today,fallback,,,,,,,any,mild,"Forecast is mid, vibes are salvageable.",,1,TRUE,en-US,"Persona fallback."
frat_bro_severe_today_001,frat_bro,Frat Bro,today,severe|storm,200|201|202|210|211|212|221|230|231|232,,,,,,any,mild,"Severe weather setup, bro. Skip the hero routine, follow alerts, and get somewhere safe.",,2,TRUE,en-US,"Safety-first severe line."
old_grandpa_cold_today_001,old_grandpa,Old Grandpa,today,cold,,,32,,,,morning|night,medium,"{temp}{temp_unit}? Back in my day we called this a character-building morning.",,1,TRUE,en-US,"Cold today."
old_grandpa_snow_hourly_001,old_grandpa,Old Grandpa,hourly,snow,600|601|602|611|612|613|615|616|620|621|622,,,,,,any,mild,"Snow is in the mix. Walk slow and quit pretending sneakers are boots.",,1,TRUE,en-US,"Snow hourly."
old_grandpa_fog_commute_001,old_grandpa,Old Grandpa,commute,fog|commute_risk,701|711|721|741,,,,,,morning|evening,mild,"Fog out there. Headlights on, patience up, nonsense down.",,1,TRUE,en-US,"Fog commute."
old_grandpa_cloudy_weekend_001,old_grandpa,Old Grandpa,weekend,cloudy,802|803|804,,,,,,any,mild,"Cloudy weekend. Fine by me. Less squinting, more sitting.",,1,TRUE,en-US,"Cloudy weekend."
old_grandpa_bad_air_mood_001,old_grandpa,Old Grandpa,mood,bad_air|gross,,,,,,,any,mild,"Air quality is rough. Maybe do the old-fashioned thing and stay inside.",,1,TRUE,en-US,"Bad air mood."
old_grandpa_fallback_today_001,old_grandpa,Old Grandpa,today,fallback,,,,,,,any,mild,"The forecast is mumbling again. Bring a layer and don't argue.",,1,TRUE,en-US,"Persona fallback."
old_grandpa_severe_today_001,old_grandpa,Old Grandpa,today,severe|snow,600|601|602|611|612|613|615|616|620|621|622,,,,,,any,mild,"Severe winter weather can turn fast. Stay off roads if officials say so and keep warm supplies nearby.",,2,TRUE,en-US,"Safety-first severe line."
politician_clear_today_001,politician,Politician,today,clear|nice,800,,,,,,morning|afternoon,mild,"Clear skies over {city}. We take full credit for this bipartisan sunshine.",,1,TRUE,en-US,"Clear today."
politician_heavy_rain_hourly_001,politician,Politician,hourly,heavy_rain|gross,502|503|504|522,,,,,75,any,medium,"Heavy rain is polling strongly. Umbrellas have my full endorsement.",,1,TRUE,en-US,"Heavy rain hourly."
politician_windy_commute_001,politician,Politician,commute,windy|commute_risk,,,,,20,,morning|evening,medium,"Wind at {wind_mph} mph. We are forming a committee to hold your hair in place.",,1,TRUE,en-US,"Windy commute."
politician_weekend_good_001,politician,Politician,weekend,weekend_good|clear|nice,800,,,,,,any,mild,"A nice weekend has been approved by the committee, pending sunscreen compliance.",,1,TRUE,en-US,"Nice weekend."
politician_humid_mood_001,politician,Politician,mood,humid|gross,,75,,65,,,afternoon|evening,medium,"Humidity is {humidity}%. I will answer no further questions about the air.",,1,TRUE,en-US,"Humid mood."
politician_fallback_today_001,politician,Politician,today,fallback,,,,,,,any,mild,"The forecast remains under review and probably your fault.",,1,TRUE,en-US,"Persona fallback."
politician_severe_today_001,politician,Politician,today,severe|storm,200|201|202|210|211|212|221|230|231|232,,,,,,any,mild,"Severe weather risk is real. Monitor official alerts, shelter promptly, and save the spin for later.",,2,TRUE,en-US,"Safety-first severe line."
toddler_light_rain_today_001,toddler,Toddler,today,light_rain,500|501,,,,,50,any,mild,"Rain maybe. Boots yes. Puddles also yes.",,1,TRUE,en-US,"Light rain today."
toddler_hot_hourly_001,toddler,Toddler,hourly,hot,,90,,,,,afternoon,medium,"{temp}{temp_unit}. Too hot. I am a noodle now.",,1,TRUE,en-US,"Hot hourly."
toddler_snow_commute_001,toddler,Toddler,commute,snow|commute_risk,600|601|602|611|612|613|615|616|620|621|622,,,,,,morning|evening,mild,"Snow road. Go slow. I bring snack.",,1,TRUE,en-US,"Snow commute."
toddler_fog_weekend_001,toddler,Toddler,weekend,fog|gross,701|711|721|741,,,,,,any,mild,"Fog made the outside blurry. I did not approve.",,1,TRUE,en-US,"Fog weekend."
toddler_nice_mood_001,toddler,Toddler,mood,nice,,,,,,,any,mild,"Sky nice. Mood still tiny thunder.",,1,TRUE,en-US,"Nice mood."
toddler_fallback_today_001,toddler,Toddler,today,fallback,,,,,,,any,mild,"Weather doing things. I need snack.",,1,TRUE,en-US,"Persona fallback."
toddler_severe_today_001,toddler,Toddler,today,severe|storm,200|201|202|210|211|212|221|230|231|232,,,,,,any,mild,"Big weather can be dangerous. Stay with grown-ups, follow alerts, and go to the safe room if told.",,2,TRUE,en-US,"Safety-first severe line."
